"address_id";"address";"city";"postal_code";"latitude";"longitude"
82;"23 RUE DU MOULIN";"ETANG-SUR-ARROUX";"71190";46.8695;4.17587
83;"830 RTE DE VELLERON";"MONTEUX";"84170";44.0243;5.00288
84;"1 RUE LUCIEN PIRON";"ROSNY-SOUS-BOIS";"93110";48.8771;2.46949
85;"2 RTE DE LA MAIRIE";"BERNEX";"74500";46.3611;6.67488
86;"123 AV DU GENERAL DE GAULLE";"CHAMPIGNY-SUR-MARNE";"94500";48.824;2.49712
87;"61 RUE JEAN MACE";"BREST";"29200";48.389;-4.49174
88;"7188 PL DE L'HOTEL DE VILLE";"CHATEAUBOURG";"35220";48.1095;-1.4053
89;"23 RUE CLEMENCEAU";"PONT A MOUSSON";"54700";48.9015;6.05456
90;"9 RUE DU CHARDONNAY";"CAZOULS-LES-BEZIERS";"34370";0.0;0.0
91;"538 RUE DES SOURCES";"SERMAISE";"91530";48.5389;2.10127
92;"34 RUE DU QUATRE SEPTEMBRE";"VALENCE";"26000";0.0;0.0
93;"9001 VC RES LES RIVES DE DEAUVILLE";"SAINT-ARNOULT";"14800";0.0;0.0
94;"50 RUE DE L'AIGLON";"WIMILLE";"62126";50.7389;1.61714
95;"5 RUE DU GROS MURGER";"MAISONS-LAFFITTE";"78600";48.9505;2.13636
96;"1 MTE DE LA CROIX";"LAIVES";"71240";0.0;0.0
97;"12 RUE LYDERIC";"LILLE";"59800";50.6304;3.06617
98;"1270 RPE D ARDON";"LAON";"2000";49.5587;3.62511
99;"4 RUE JEAN BACHELET";"NEUILLY-PLAISANCE";"93360";48.8694;2.5016
100;"279 CHE DE LA FLACHE";"FONTENAILLES";"77370";0.0;0.0
103;"5036 IMP DU RINQUANA";"BISSY-SUR-FLEY";"71460";0.0;0.0
104;"33 RUE DU GEN DE GAULLE";"L'AIGLE";"61300";0.0;0.0
105;"24 CHE JEAN POMIER";"NARBONNE";"11100";43.1434;2.97053
106;"2 RUE DES THUYAS";"VOULTON";"77560";48.6153;3.32914
107;"17 RUE MARIUS DELPECH";"SARCELLES";"95200";48.9755;2.37999
108;"5787 CHE DE L'ESQUILLON";"BEAUVOISIN";"30640";43.7134;4.31309
109;"46 BD DU GENERAL DE GAULLE";"HENDAYE";"64700";43.3617;-1.77235
110;"16 PL VAUBAN";"AVALLON";"89200";47.4896;3.90889
111;"713 AV DE PROVENCE";"FREJUS";"83600";43.4283;6.73906
112;"13 RUE NATIONALE";"CAMPENEAC";"56800";47.9576;-2.29228
113;"17 RUE DE VILLENEUVE";"LES MOUTIERS-EN-RETZ";"44760";47.0698;-2.00658
114;"9 IMP DU CERS";"LIMOUX";"11300";43.069;2.20901
115;"20 RUE CHARLES LATERRADE";"TALENCE";"33400";44.8215;-0.584798
116;"16 RTE DU MONT DORE LA GARANDIE";"AYDAT";"63970";45.6603;2.9431
117;"40 CHE DU BOURGEON";"LEGE-CAP-FERRET";"33950";44.7827;-1.15246
118;"3 AV PHILIPPE DE VOLVIRE";"SENS-DE-BRETAGNE";"35490";48.3325;-1.53534
119;"82 RUE LOUIS ROUQUIER";"LEVALLOIS-PERRET";"92300";48.8918;2.28966
121;"2 CHE DE LA MERLEBRISE";"MALVILLE";"44260";47.3555;-1.86068
122;"30 RUE DES LICES MAZAN";"CARPENTRAS";"84200";44.0552;5.05132
123;"5 RUE ELIE-VERNET";"GRENOBLE";"38000";45.1966;5.71423
125;"4 ALL DU VIEUX CEDRE";"SASSENAGE";"38360";45.209;5.667
126;"36 CHE DU PETIT CASTAING";"MURET";"31600";43.4673;1.32619
127;"199 RUE JOLIOT CURIE";"LYON 5EME";"69005";0.0;0.0
